case rn(51,46):
tmap = new Array();
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,111,271,272,704,704,704,704,704,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,232,704,704,704,704,704,704,704,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,232,704,704,704,704,704,704,704,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,232,704,704,704,704,704,704,704,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,232,704,704,704,704,704,704,704,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,151,191,192,704,704,704,704,704,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,270,271,271,271,271,271,271,271,271,271,271,271,271,112,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,704,704,704,826,0,0,0,0,0,0,0,0,0,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,704,704,704,826,0,0,0,0,0,0,0,0,0,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,704,704,704,826,0,0,0,0,0,0,0,0,0,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,704,704,704,826,0,0,0,0,0,0,0,0,0,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,704,704,704,826,0,0,0,0,0,0,0,0,0,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,704,704,704,826,0,0,0,0,0,0,0,0,0,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,704,704,704,826,0,0,0,0,0,0,0,0,0,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,704,704,704,826,0,0,0,0,0,0,0,0,0,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,704,704,704,826,0,0,0,0,0,0,0,0,0,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,704,704,704,826,0,0,0,0,0,0,0,0,0,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,704,704,704,826,0,0,0,0,0,0,0,0,0,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,232,704,704,704,704,704,704,704,704,826,0,0,0,0,0,0,0,0,0,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,151,191,191,191,191,191,191,191,191,191,191,191,191,191,192,0,0,0,0,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,232,0,0,0,0,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,232,0,0,0,0,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110");
tmap.push("110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,232,0,0,0,0,230,110,110,110,110,110,110,110,110,110,110,110,110,110,110");

obj.createentity(game, 176, 104, 10, 0, 446510);  // (savepoint)
break;
